keyword      C          C++        Go         Haskell    Java       JavaScript Julia      Perl       Python     Ruby       
in:          654        1144       1147       546        1399       471        1226       790        1514       439        
include:     1648       1837       64         24         12         11         133        117        6          240        
instance:    105        57         23         265        126        15         81         110        19         81         
int:         1709       1616       1029       721        1072       139        571        271        652        34         
int64:       8          11         247        13         0          0          202        0          1          0          
interface:   50         19         279        12         207        1          62         155        3          2          
iostream:    3          866        0          0          0          0          17         0          0          0          
is:          796        1230       1168       408        1391       482        789        909        641        511        
lambda:      16         36         1          21         15         11         30         1          254        58         
last:        186        138        129        108        58         70         207        383        144        129        
let:         72         42         30         595        16         444        167        86         18         20         
local:       100        52         44         48         13         10         103        347        8          62         
long:        364        162        81         23         220        12         41         162        22         28         
main:        1085       1076       1259       1002       909        113        79         218        251        46         
map:         67         122        242        603        182        405        205        553        164        295        
module:      107        27         12         610        14         96         217        380        17         224        
my:          47         15         20         26         11         22         13         1676       20         21         
namespace:   13         1068       2          28         1          9          9          69         2          7          
new:         273        366        358        108        1402       481        292        638        93         832        
next:        254        162        152        53         138        152        112        431        123        133        
nil:         116        3          752        23         1          1          5          14         2          470        
none:        76         95         31         22         9          27         72         131        325        27         
not:         590        1057       578        353        1243       299        502        685        579        379        
nothing:     88         55         48         360        29         28         424        127        22         31         
null:        635        163        27         189        369        326        35         89         9          41         
of:          798        1259       1195       634        1452       598        832        798        801        477        
operator:    38         294        17         35         10         10         36         59         71         9          
or:          437        1002       296        197        1205       174        382        789        419        235        
our:         82         95         43         20         29         28         58         581        43         15         
package:     24         3          1956       32         1353       1          37         874        0          15         
print:       140        131        205        462        211        112        322        1155       1358       166        
private:     63         315        10         8          938        5          13         60         10         133        
public:      115        523        16         9          2025       16         65         149        8          34         
qualified:   8          2          9          458        0          0          4          37         0          0          
raise:       61         14         1          3          0          3          17         19         177        234        
range:       124        161        681        45         51         99         87         79         880        41         
return:      1691       1544       1176       396        1267       1384       873        1011       1332       315        
self:        244        51         25         22         7          8          19         388        241        340        
sizeof:      743        263        28         7          1          0          80         10         0          5          
static:      622        471        37         18         1519       17         49         45         5          11         
static_cast: 1          234        0          0          0          0          0          0          0          0          
std:         21         1738       14         2          5          3          29         27         4          3          
string:      546        658        827        565        1420       395        516        328        254        268        
struct:      579        458        597        0          0          0          381        34         4          67         
switch:      317        140        332        19         52         31         20         75         4          12         
template:    12         437        33         4          2          10         1          25         5          7          
then:        191        187        144        416        79         132        178        320        90         117        
this:        554        1100       1050       340        1360       414        661        787        309        251        
thread:      111        224        33         25         108        1          26         55         15         74         
throw:       33         211        21         17         146        157        312        42         2          24         
throws:      7          29         1          7          262        14         31         13         5          9          
true:        304        683        423        327        383        409        643        249        515        593        
try:         112        221        52         61         236        89         206        199        181        45         
type:        243        222        779        394        133        186        495        282        122        79         
typedef:     358        169        6          0          0          7          12         9          0          0          
typename:    6          304        10         44         0          0          13         0          2          0          
typeof:      8          6          18         12         0          157        274        0          0          0          
undef:       204        43         1          0          0          1          160        486        1          15         
union:       70         21         11         41         3          7          298        11         27         14         
unless:      96         817        24         44         4          4          34         604        2          254        
unsigned:    487        293        28         3          3          4          37         30         4          4          
use:         356        912        964        144        1120       278        300        1572       114        118        
using:       236        925        147        80         118        88         924        320        184        99         
var:         74         23         1021       132        456        694        92         68         5          14         
void:        1220       1050       18         45         1654       14         15         48         1          14         
when:        234        193        205        147        140        99         243        391        85         330        
where:       161        140        90         1232       59         43         407        227        108        40         
while:       839        641        53         37         405        283        419        672        505        164        
with:        477        1061       447        278        1242       289        513        654        409        337        
